,t,u0,u1,y
6860,41393.0,0.0,2.1397530864197534e-08,
6861,41399.0,0.0,2.1390123456790123e-08,
6862,41405.0,0.0,2.1395447530864196e-08,
6863,41411.0,0.0,2.1403317901234567e-08,
6864,41417.0,0.0,2.141118827160494e-08,
6865,41423.0,0.0,2.141905864197531e-08,
6866,41429.0,0.0,2.1426929012345678e-08,
6867,41435.0,0.0,2.143479938271605e-08,
6868,41443.0,0.0,2.1445293209876542e-08,
6869,41447.0,0.0,2.145054012345679e-08,
6870,41453.0,0.0,2.145841049382716e-08,
6871,41459.0,0.0,2.146628086419753e-08,
6872,41465.0,0.0,2.14741512345679e-08,
6873,41471.0,0.0,2.1482021604938272e-08,
6874,41477.0,0.0,2.1489891975308643e-08,
6875,41483.0,0.0,2.1497762345679015e-08,
6876,41489.0,0.0,2.1505632716049383e-08,
6877,41495.0,0.0,2.151350308641975e-08,
6878,41501.0,0.0,2.1521373456790123e-08,
6879,41507.0,0.0,2.1529243827160494e-08,
6880,41513.0,0.0,2.1537114197530865e-08,
6881,41519.0,0.0,2.1544984567901237e-08,
6882,41525.0,0.0,2.1552854938271602e-08,
6883,41531.0,0.0,2.1560725308641973e-08,
6884,41537.0,0.0,2.1568595679012345e-08,
6885,41543.0,0.0,2.1576466049382716e-08,
6886,41549.0,0.0,2.1584336419753088e-08,
6887,41555.0,0.0,2.159220679012346e-08,
6888,41561.0,0.0,2.1600077160493827e-08,
6889,41567.0,0.0,2.16079475308642e-08,
6890,41573.0,0.0,2.1615817901234567e-08,
6891,41579.0,0.0,2.1623688271604938e-08,
6892,41585.0,0.0,2.163155864197531e-08,
6893,41591.0,0.0,2.1639429012345678e-08,
6894,41597.0,0.0,2.164729938271605e-08,
6895,41603.0,0.0,2.165516975308642e-08,
6896,41609.0,0.0,2.1663040123456792e-08,
6897,41615.0,0.0,2.167091049382716e-08,
6898,41621.0,0.0,2.167878086419753e-08,
6899,41627.0,0.0,2.16866512345679e-08,
6900,41633.0,0.0,2.169452160493827e-08,
6901,41639.0,0.0,2.1702391975308643e-08,
6902,41645.0,0.0,2.1710262345679014e-08,
6903,41651.0,0.0,2.1718132716049386e-08,
6904,41657.0,0.0,2.172600308641975e-08,
6905,41663.0,0.0,2.1733873456790122e-08,
6906,41669.0,0.0,2.1741743827160493e-08,
6907,41675.0,0.0,2.1749614197530865e-08,
6908,41681.0,0.0,2.1757484567901236e-08,
6909,41687.0,0.0,2.1765354938271604e-08,
6910,41693.0,0.0,2.1773225308641976e-08,
6911,41699.0,0.0,2.1781095679012344e-08,
6912,41705.0,0.0,2.1788966049382715e-08,
6913,41711.0,0.0,2.1796836419753087e-08,
6914,41717.0,0.0,2.1804706790123455e-08,
6915,41723.0,0.0,2.1812577160493827e-08,
6916,41731.0,0.0,2.182307098765432e-08,
6917,41735.0,0.0,2.182831790123457e-08,
6918,41741.0,0.0,2.183618827160494e-08,
6919,41747.0,0.0,2.184405864197531e-08,
6920,41753.0,0.0,2.1851929012345677e-08,
6921,41759.0,0.0,2.185979938271605e-08,
6922,41765.0,0.0,2.186766975308642e-08,
6923,41771.0,0.0,2.187554012345679e-08,
6924,41777.0,0.0,2.1883410493827163e-08,
6925,41783.0,0.0,2.1891280864197528e-08,
6926,41789.0,0.0,2.18991512345679e-08,
6927,41795.0,0.0,2.190702160493827e-08,
6928,41801.0,0.0,2.1914891975308642e-08,
6929,41807.0,0.0,2.1922762345679014e-08,
6930,41813.0,0.0,2.1930632716049382e-08,
6931,41819.0,0.0,2.1938503086419753e-08,
6932,41825.0,0.0,2.194637345679012e-08,
6933,41831.0,0.0,2.1954243827160493e-08,
6934,41837.0,0.0,2.1962114197530864e-08,
6935,41843.0,0.0,2.1969984567901236e-08,
6936,41849.0,0.0,2.1977854938271604e-08,
6937,41855.0,0.0,2.1985725308641975e-08,
6938,41861.0,0.0,2.1993595679012347e-08,
6939,41867.0,0.0,2.2001466049382718e-08,
6940,41873.0,0.0,2.2009336419753086e-08,
6941,41879.0,0.0,2.2017206790123455e-08,
6942,41885.0,0.0,2.2025077160493826e-08,
6943,41893.0,0.0,2.203557098765432e-08,
6944,41897.0,0.0,2.204081790123457e-08,
6945,41903.0,0.0,2.204868827160494e-08,
6946,41909.0,0.0,2.2056558641975305e-08,
6947,41915.0,0.0,2.2064429012345677e-08,
6948,41921.0,0.0,2.2072299382716048e-08,
6949,41927.0,0.0,2.208016975308642e-08,
6950,41933.0,0.0,2.208804012345679e-08,
6951,41939.0,0.0,2.2095910493827162e-08,
6952,41945.0,0.0,2.210378086419753e-08,
6953,41951.0,0.0,2.2111651234567902e-08,
6954,41957.0,0.0,2.211952160493827e-08,
6955,41963.0,0.0,2.212739197530864e-08,
6956,41969.0,0.0,2.2135262345679013e-08,
6957,41977.0,0.0,2.2145756172839508e-08,
6958,41981.0,0.0,2.2151003086419753e-08,
6959,41987.0,0.0,2.2158873456790124e-08,
6960,41993.0,0.0,2.2166743827160496e-08,
6961,41999.0,0.0,2.2174614197530867e-08,
